filename,name,sku,url
saree_0032_QS214034.png,Fancy Work Saree - QS214034,QS214034,https://byrappasilk.in/storage/uploads/mI2WguinXBBCzp9xYnY4kP1lRb1yD0tFkku0nzLc.webp
saree_0033_QS214033.png,Fancy Work Saree - QS214033,QS214033,https://byrappasilk.in/storage/uploads/nmesha9Ryn8rbHOMSAlu2trmUwaLlkwXoeVveVsS.webp
saree_0034_QS213523.png,Satin Printed Aditya Birla Fabric - White & Black Colour - QS213523,QS213523,https://byrappasilk.in/storage/uploads/0QL4gpjy33U3uH24jdVsDw7UzudabXNAFIVNKYAO.webp
saree_0035_QS213579.png,Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213579,QS213579,https://byrappasilk.in/storage/uploads/sfg0tNLNPzgXVAtt7bzbgWv0wYp7tmJeAwtaF2Xa.webp
saree_0036_QS213587.png,Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213587,QS213587,https://byrappasilk.in/storage/uploads/DCuwM6jF2XZCAZfxEJogCMBdzYRa1eOXKJ7dDIAm.webp
saree_0037_QS213527.png,Satin Printed (Aditya Birla Fabric) - White & Black Colour - QS213527,QS213527,https://byrappasilk.in/storage/uploads/IxQilcX5rH4BraSGWNCJNSX83IhRSwResXEW0JdY.webp
saree_0038_QS213580.png,Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213580,QS213580,https://byrappasilk.in/storage/uploads/Zx1UD5BooqUNgx6d8nihQzt7t1rxIalFKbozBfcB.webp
saree_0039_QS213525.png,Satin Printed Aditya Birla Fabric - White & Black Colour - QS213525,QS213525,https://byrappasilk.in/storage/uploads/IoFOWGGSbxl7BkITtqGYGCpr5zXKJUC0HgIu8LDG.webp
saree_0040_QS213529.png,Satin Printed (Aditya Birla Fabric) - White & Black Colour - QS213529,QS213529,https://byrappasilk.in/storage/uploads/nvIXxpWcGCjHgfNm5egKFF5hHN9QB4jaQuMJOavo.webp
saree_0041_QS215164.png,Ajrakh Printed Sarees -Black Colour - QS215164,QS215164,https://byrappasilk.in/storage/uploads/Bf0p9ygZ7DWkMhT7wMfTFzW0Jo0TczDu22DI6CPl.webp
saree_0042_QS215442.png,Ajrakh Printed Sarees - Maroon Colour - QS215442,QS215442,https://byrappasilk.in/storage/uploads/V8gXeBsiZPqnunFXi1E8zY41q0DW9XJx9aj0PscX.webp
saree_0043_QS216160.png,Handloom Pure Silk Sarees - QS216160,QS216160,https://byrappasilk.in/storage/uploads/rvqUg5eeUDdNwCadDHEk6HueIClqSw9xPPcLBNe7.webp
saree_0044_QS216263.png,Organza Saree Yellow Colour - QS216263,QS216263,https://byrappasilk.in/storage/uploads/5xAZJR0hOD64wwXfbMxwneZSKlRl9ea3nlzDD2dS.webp
saree_0045_QS216261.png,Organza Saree Wine Colour - QS216261,QS216261,https://byrappasilk.in/storage/uploads/vypuwKsFjMxO0n6k26lWS0s4Rr3dhYNxuxEwoDo4.webp
saree_0046_QS216260.png,Organza Saree - Blue Colour - QS216260,QS216260,https://byrappasilk.in/storage/uploads/TjS4TZONDrei7qFe2eXLYVjHiPS6XGtDXcGg5i5P.webp
saree_0047_QS216262.png,Organza Saree - Black Colour - QS216262,QS216262,https://byrappasilk.in/storage/uploads/cEceux4XcMh1iU8SKV5GKpIhmbQZbnR9Gh8743aw.webp
saree_0048_QS216113.png,Aplic Work Sarees - QS216113,QS216113,https://byrappasilk.in/storage/uploads/6712WTJlubc92zvHsPT8a8cpkKqlQ8ZJoxp2wn1V.webp
saree_0049_QS216114.png,Aplic Work Sarees - QS216114,QS216114,https://byrappasilk.in/storage/uploads/6W2kp9SWgUHhFU7fFhxaEZVmIn02Mv2oPJCARkkE.webp
saree_0050_QS214968.png,Aplic Work Sarees - QS214968,QS214968,https://byrappasilk.in/storage/uploads/hxG2pkQJJFR3X1m0VYJT56skBF6WXjbzs8v0LVLI.webp
saree_0051_QS213561.png,Satin Printed (Aditya Birla Fabric) - White Colour - QS213561,QS213561,https://byrappasilk.in/storage/uploads/x512tw18NLdI97EznXdx1EOimuTVVFPlEDkcXETU.webp
saree_0052_QS214419.png,Semi-Crape Printed Saree -Blue Colour - QS214419,QS214419,https://byrappasilk.in/storage/uploads/tvTtjTm5KPLTyD0LLr5Ml7AZonFn4vBcl2ZfEuOn.webp
saree_0053_QW201127.png,Semi-Crape Printed Saree - Black & Yellow Colour - QW201127,QW201127,https://byrappasilk.in/storage/uploads/2QDf4J8KjUIfb6euZZEZBIDTdyjJlm9rjQRSdCM7.webp
saree_0054_QS215526.png,Ajrakh Printed Sarees - Red Colour - QS215526,QS215526,https://byrappasilk.in/storage/uploads/lpiFPx73XqglBoJpsfBRy4dUprd3SOEkNWW5YEKu.webp
saree_0055_QS217208.png,Designer Fancy Saree with Blouse - QS217208,QS217208,https://byrappasilk.in/storage/uploads/9g2dABuxruUaoZICZQvSVGvAUY4fQ60pcSGZJxI2.webp
saree_0056_QS217214.png,Designer Fancy Saree with Blouse - QS217214,QS217214,https://byrappasilk.in/storage/uploads/DyOIDhn7myeu1eZz9HxoM1a078KuFLPgFDwsIRNa.webp
saree_0057_QS217213.png,Designer Fancy Saree with Blouse - QS217213,QS217213,https://byrappasilk.in/storage/uploads/4IzZXdyZQApV0Ch1CFEczfEfDa8HnqrWp4FyXwht.webp
saree_0058_QS217215.png,Designer Fancy Saree with Blouse - QS217215,QS217215,https://byrappasilk.in/storage/uploads/57n4ZWfhdes9k9p1GZCLDkSRazJRAp2wTfgqEFRT.webp
saree_0059_QS217209.png,Designer Fancy Saree with Blouse - QS217209,QS217209,https://byrappasilk.in/storage/uploads/EFM8MnzYj7YNn1DsXrtEFJ8FE38AmOZZytFIG3Ft.webp
saree_0060_QS217211.png,Designer Fancy Saree with Blouse - QS217211,QS217211,https://byrappasilk.in/storage/uploads/ISEdnDJbO4KaK4c0FwI1YYRWBOzoFBVhXAGyjiG8.webp
saree_0061_QS217206.png,Designer Fancy Saree with Blouse - QS217206,QS217206,https://byrappasilk.in/storage/uploads/8abvg1jy0PtHr57SbqCE8kLFs49p1TxQeJ3WwJEb.webp
saree_0062_QS217205.png,Designer Fancy Saree with Blouse - QS217205,QS217205,https://byrappasilk.in/storage/uploads/uH1RguI2QyHYDPsFnosnHnbLN8GrXM5VNqVfG8I9.webp
saree_0063_QS217878.png,Fancy Saree (Aditya Birla Fabric) - White & Black Colour - QS217878,QS217878,https://byrappasilk.in/storage/uploads/yx7ceI9prSCP1boW7sdn1ef6KjlzKRKDDUjhRur1.webp
saree_0064_QS218569.png,Pashmina Printed Saree - Banarasi Crape - QS218569,QS218569,https://byrappasilk.in/storage/uploads/EqhoM3xRaYe8TFRWgKXZQa85KlKzR03mDJM2oHeu.webp
saree_0065_QS218564.png,Pashmina Printed Saree - Banarasi Crape - QS218564,QS218564,https://byrappasilk.in/storage/uploads/CC73ScEPwfhfcTA2z72gls37yQCD27xtjGlfJ0Au.webp
saree_0066_QS218562.png,Pashmina Printed Saree - Banarasi Crape - QS218562,QS218562,https://byrappasilk.in/storage/uploads/LHFF3H4axVW8GT48aY7o6hBeuRdxaYBUSJmUSmn0.webp
saree_0067_QS214151.png,Fancy Saree With Work - Wine Colour - QS214151,QS214151,https://byrappasilk.in/storage/uploads/PzYMaVmh4rdjXRqAdvO29SFfeE6MpMRluWmuQGQh.webp
saree_0068_QS214150.png,Fancy Saree With Work - Maroon Colour - QS214150,QS214150,https://byrappasilk.in/storage/uploads/4X5dWEdNaNkWThnAPK6ZIbmIaXfSvwdsVbn5I5a7.webp
saree_0069_QS214152.png,Fancy Saree With Work - Black Colour - QS214152,QS214152,https://byrappasilk.in/storage/uploads/jhOfZCFrLWslK47q37XnCqTlS2Sj6qOC5amLzsT5.webp
saree_0070_QS217133.png,Kalamkari With Kanchi Border Saree - White With Red Border -QS217133,QS217133,https://byrappasilk.in/storage/uploads/sRBCS9lAIepqfaaIHvQLct2yUM8wiA6gDXzyic07.webp
saree_0071_QS213638.png,Fancy Printed Saree - Green With Dark Pink Colour - QS213638,QS213638,https://byrappasilk.in/storage/uploads/VrAu87spHy85sLEpX4jnZ5FH0kzWhqAbCSJmAZBK.webp
saree_0072_QS217074.png,Fancy Saree (Aditya Birla Fabric) - White & Black Colour - QS217074,QS217074,https://byrappasilk.in/storage/uploads/HCU9yVRED55pLylh6OAALdEWFwsStvV9icyZWnMF.webp
